step,queue,waiting,throughput
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,12.0,113.0,0
8,13.0,228.0,0
9,16.0,377.0,1
10,24.0,564.0,1
11,8.0,42.0,0
12,9.0,42.0,2
13,23.0,195.0,0
14,13.0,86.0,1
15,7.0,88.0,1
16,7.0,17.0,0
17,17.0,139.0,2
18,20.0,310.0,0
19,7.0,22.0,3
20,8.0,44.0,2
21,6.0,22.0,1
22,9.0,32.0,0
23,12.0,125.0,1
24,3.0,10.0,0
25,7.0,59.0,1
26,8.0,26.0,2
27,6.0,20.0,1
28,13.0,113.0,1
29,4.0,11.0,0
30,10.0,42.0,2
31,3.0,8.0,2
32,9.0,57.0,1
33,2.0,6.0,0
34,9.0,41.0,1
35,11.0,120.0,0
36,13.0,235.0,2
37,19.0,389.0,1
38,5.0,11.0,1
39,7.0,28.0,2
40,21.0,168.0,1
41,9.0,44.0,0
42,8.0,80.0,0
43,9.0,28.0,1
44,13.0,123.0,2
45,4.0,18.0,2
46,10.0,32.0,1
47,6.0,22.0,2
48,10.0,36.0,2
49,19.0,170.0,3
50,21.0,350.0,1
51,24.0,569.0,3
52,30.0,821.0,2
53,21.0,397.0,1
54,11.0,55.0,1
55,22.0,171.0,2
56,34.0,445.0,1
57,38.0,801.0,3
58,44.0,1207.0,1
59,48.0,1653.0,1
60,32.0,973.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,9.0,53.0,0
8,11.0,142.0,0
9,3.0,12.0,0
10,10.0,61.0,1
11,6.0,21.0,0
12,7.0,80.0,1
13,4.0,11.0,4
14,10.0,23.0,0
15,12.0,126.0,1
16,3.0,11.0,2
17,9.0,61.0,3
18,8.0,29.0,1
19,16.0,141.0,0
20,20.0,294.0,1
21,11.0,76.0,1
22,8.0,63.0,2
23,13.0,149.0,1
24,12.0,265.0,0
25,18.0,410.0,3
26,12.0,81.0,0
27,8.0,67.0,3
28,8.0,31.0,2
29,18.0,163.0,3
30,10.0,39.0,3
31,8.0,69.0,2
32,13.0,166.0,3
33,3.0,5.0,0
34,6.0,42.0,2
35,10.0,29.0,2
36,6.0,24.0,4
37,8.0,85.0,3
38,15.0,191.0,2
39,4.0,3.0,3
40,8.0,25.0,3
41,6.0,14.0,1
42,9.0,71.0,0
43,4.0,17.0,1
44,8.0,71.0,3
45,13.0,163.0,0
46,15.0,297.0,3
47,20.0,474.0,4
48,26.0,688.0,2
49,14.0,230.0,2
50,7.0,62.0,0
51,9.0,26.0,0
52,13.0,45.0,1
53,10.0,113.0,0
54,12.0,57.0,1
55,14.0,53.0,5
56,8.0,27.0,3
57,19.0,168.0,2
58,16.0,104.0,2
59,9.0,32.0,2
60,21.0,184.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,11.0,79.0,0
8,12.0,178.0,0
9,4.0,17.0,1
10,10.0,29.0,2
11,16.0,159.0,2
12,20.0,337.0,1
13,26.0,553.0,0
14,17.0,238.0,1
15,6.0,53.0,2
16,9.0,29.0,0
17,9.0,26.0,1
18,8.0,36.0,1
19,17.0,180.0,1
20,14.0,75.0,1
21,5.0,44.0,0
22,9.0,113.0,0
23,10.0,29.0,2
24,11.0,121.0,3
25,15.0,249.0,1
26,9.0,22.0,2
27,9.0,74.0,1
28,12.0,174.0,1
29,4.0,14.0,2
30,10.0,40.0,2
31,15.0,159.0,3
32,6.0,20.0,1
33,7.0,76.0,2
34,13.0,169.0,0
35,5.0,9.0,2
36,9.0,35.0,0
37,16.0,158.0,2
38,8.0,40.0,1
39,6.0,42.0,1
40,9.0,33.0,5
41,9.0,26.0,0
42,7.0,28.0,1
43,11.0,37.0,2
44,14.0,127.0,1
45,11.0,42.0,1
46,12.0,45.0,2
47,11.0,30.0,1
48,8.0,27.0,2
49,11.0,33.0,2
50,16.0,137.0,2
51,12.0,56.0,3
52,11.0,110.0,1
53,11.0,35.0,2
54,10.0,36.0,2
55,15.0,151.0,2
56,6.0,19.0,2
57,11.0,94.0,2
58,13.0,204.0,3
59,3.0,10.0,3
60,7.0,58.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,6.0,8.0,0
8,8.0,59.0,0
9,2.0,8.0,1
10,8.0,31.0,0
11,6.0,8.0,0
12,7.0,26.0,3
13,11.0,122.0,1
14,19.0,255.0,0
15,5.0,14.0,1
16,9.0,35.0,1
17,18.0,166.0,0
18,21.0,349.0,0
19,11.0,131.0,1
20,7.0,39.0,3
21,11.0,35.0,2
22,16.0,165.0,1
23,7.0,16.0,2
24,8.0,55.0,2
25,9.0,127.0,1
26,3.0,11.0,1
27,9.0,42.0,3
28,4.0,16.0,1
29,7.0,68.0,2
30,4.0,11.0,1
31,7.0,17.0,0
32,5.0,23.0,2
33,9.0,94.0,2
34,15.0,206.0,1
35,18.0,356.0,1
36,6.0,16.0,3
37,10.0,70.0,0
38,9.0,150.0,0
39,9.0,36.0,1
40,9.0,25.0,0
41,16.0,149.0,0
42,7.0,45.0,2
43,10.0,30.0,2
44,9.0,28.0,1
45,8.0,30.0,3
46,6.0,22.0,1
47,10.0,88.0,2
48,8.0,28.0,3
49,18.0,157.0,1
50,22.0,344.0,2
51,15.0,155.0,1
52,8.0,68.0,1
53,8.0,35.0,3
54,19.0,173.0,1
55,7.0,24.0,1
56,7.0,67.0,1
57,15.0,160.0,0
58,5.0,14.0,2
59,7.0,33.0,0
60,15.0,134.0,3
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,12.0,113.0,0
8,13.0,225.0,0
9,16.0,365.0,0
10,6.0,10.0,1
11,9.0,34.0,2
12,21.0,186.0,1
13,23.0,391.0,1
14,14.0,114.0,0
15,8.0,72.0,3
16,12.0,158.0,1
17,9.0,32.0,0
18,8.0,28.0,0
19,18.0,149.0,1
20,6.0,21.0,2
21,9.0,32.0,3
22,17.0,160.0,2
23,21.0,336.0,1
24,6.0,19.0,1
25,10.0,43.0,1
26,22.0,193.0,2
27,25.0,413.0,0
28,13.0,135.0,1
29,10.0,37.0,0
30,22.0,188.0,0
31,32.0,458.0,1
32,37.0,789.0,0
33,38.0,1148.0,4
34,43.0,1553.0,2
35,50.0,1996.0,2
36,48.0,2472.0,1
37,39.0,1481.0,1
38,31.0,591.0,1
39,14.0,77.0,0
40,11.0,36.0,0
41,24.0,177.0,2
42,17.0,96.0,0
43,20.0,82.0,1
44,21.0,65.0,2
45,9.0,66.0,1
46,11.0,153.0,0
47,11.0,34.0,1
48,23.0,186.0,2
49,29.0,210.0,2
50,28.0,165.0,1
51,28.0,220.0,1
52,36.0,459.0,1
53,32.0,326.0,1
54,30.0,298.0,1
55,17.0,97.0,2
56,12.0,47.0,1
57,14.0,85.0,1
58,14.0,176.0,1
59,14.0,305.0,1
60,19.0,466.0,3
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,11.0,113.0,0
8,13.0,225.0,0
9,17.0,365.0,0
10,5.0,10.0,1
11,8.0,34.0,1
12,4.0,9.0,1
13,8.0,25.0,1
14,17.0,151.0,0
15,23.0,338.0,2
16,24.0,557.0,0
17,28.0,814.0,2
18,33.0,1106.0,2
19,26.0,602.0,1
20,15.0,144.0,0
21,8.0,27.0,1
22,22.0,168.0,1
23,17.0,100.0,0
24,9.0,83.0,1
25,9.0,29.0,3
26,21.0,173.0,0
27,31.0,445.0,1
28,24.0,350.0,0
29,11.0,92.0,2
30,9.0,113.0,1
31,18.0,231.0,1
32,17.0,389.0,0
33,8.0,35.0,3
34,9.0,31.0,2
35,15.0,40.0,2
36,9.0,34.0,2
37,18.0,166.0,1
38,15.0,53.0,2
39,13.0,139.0,1
40,16.0,278.0,1
41,14.0,42.0,0
42,10.0,43.0,1
43,18.0,192.0,1
44,25.0,393.0,3
45,12.0,101.0,2
46,6.0,59.0,1
47,11.0,141.0,1
48,15.0,253.0,2
49,7.0,31.0,1
50,9.0,27.0,1
51,21.0,163.0,1
52,9.0,87.0,3
53,10.0,35.0,3
54,25.0,193.0,2
55,25.0,432.0,2
56,31.0,710.0,1
57,21.0,284.0,0
58,7.0,74.0,0
59,11.0,148.0,1
60,15.0,267.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,5.0,4.0,0
8,5.0,19.0,0
9,5.0,12.0,0
10,6.0,24.0,2
11,3.0,9.0,2
12,8.0,55.0,1
13,3.0,3.0,4
14,8.0,51.0,1
15,4.0,21.0,2
16,7.0,23.0,1
17,9.0,84.0,3
18,4.0,13.0,2
19,11.0,31.0,3
20,3.0,11.0,0
21,8.0,67.0,1
22,15.0,171.0,2
23,15.0,301.0,1
24,19.0,468.0,1
25,26.0,676.0,1
26,16.0,220.0,0
27,8.0,26.0,2
28,6.0,16.0,1
29,6.0,67.0,1
30,8.0,30.0,1
31,23.0,184.0,1
32,15.0,143.0,1
33,7.0,26.0,1
34,8.0,10.0,1
35,10.0,46.0,1
36,23.0,206.0,1
37,20.0,171.0,1
38,8.0,54.0,0
39,9.0,33.0,1
40,22.0,181.0,0
41,15.0,99.0,1
42,8.0,69.0,1
43,13.0,159.0,1
44,15.0,282.0,2
45,19.0,447.0,2
46,8.0,30.0,2
47,10.0,32.0,1
48,9.0,33.0,2
49,9.0,82.0,2
50,9.0,34.0,1
51,10.0,34.0,0
52,11.0,97.0,2
53,15.0,223.0,2
54,4.0,19.0,2
55,12.0,56.0,2
56,5.0,14.0,2
57,11.0,47.0,2
58,4.0,11.0,3
59,8.0,60.0,1
60,11.0,148.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,7.0,16.0,0
8,8.0,73.0,0
9,4.0,17.0,0
10,10.0,66.0,1
11,12.0,155.0,1
12,15.0,284.0,4
13,20.0,451.0,3
14,24.0,655.0,1
15,15.0,201.0,0
16,10.0,35.0,1
17,10.0,20.0,1
18,8.0,28.0,1
19,9.0,24.0,2
20,8.0,53.0,1
21,10.0,138.0,3
22,9.0,25.0,3
23,13.0,44.0,2
24,8.0,28.0,1
25,8.0,19.0,1
26,10.0,36.0,3
27,20.0,188.0,2
28,14.0,122.0,1
29,9.0,52.0,1
30,8.0,36.0,2
31,23.0,185.0,0
32,14.0,83.0,2
33,7.0,30.0,2
34,21.0,172.0,2
35,16.0,122.0,3
36,7.0,48.0,3
37,8.0,26.0,3
38,19.0,160.0,0
39,7.0,37.0,3
40,10.0,44.0,3
41,10.0,37.0,2
42,21.0,187.0,1
43,27.0,414.0,1
44,17.0,235.0,2
45,9.0,34.0,0
46,23.0,191.0,0
47,34.0,471.0,0
48,37.0,824.0,0
49,42.0,1213.0,3
50,47.0,1643.0,0
51,33.0,994.0,0
52,22.0,382.0,1
53,17.0,186.0,2
54,8.0,32.0,0
55,17.0,55.0,1
56,18.0,150.0,2
57,8.0,33.0,1
58,21.0,175.0,1
59,17.0,86.0,4
60,10.0,44.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,5.0,14.0,0
8,4.0,14.0,0
9,9.0,69.0,0
10,4.0,5.0,0
11,8.0,57.0,0
12,4.0,10.0,2
13,9.0,31.0,1
14,4.0,14.0,2
15,6.0,30.0,3
16,4.0,8.0,3
17,6.0,22.0,3
18,5.0,12.0,1
19,8.0,58.0,1
20,11.0,138.0,3
21,15.0,264.0,0
22,20.0,430.0,1
23,22.0,632.0,0
24,10.0,73.0,2
25,11.0,46.0,0
26,8.0,17.0,0
27,10.0,36.0,0
28,22.0,192.0,2
29,25.0,423.0,2
30,13.0,128.0,1
31,7.0,53.0,2
32,11.0,141.0,1
33,10.0,29.0,0
34,17.0,58.0,1
35,9.0,33.0,1
36,9.0,27.0,2
37,11.0,122.0,4
38,15.0,247.0,1
39,19.0,402.0,1
40,22.0,600.0,0
41,12.0,74.0,3
42,8.0,66.0,0
43,10.0,39.0,1
44,9.0,32.0,1
45,11.0,37.0,1
46,7.0,21.0,2
47,7.0,21.0,2
48,8.0,34.0,2
49,14.0,126.0,0
50,6.0,19.0,2
51,9.0,29.0,3
52,16.0,138.0,2
53,17.0,295.0,1
54,6.0,15.0,1
55,9.0,67.0,1
56,7.0,23.0,0
57,17.0,149.0,0
58,21.0,328.0,1
59,11.0,126.0,4
60,11.0,36.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,7.0,16.0,0
8,8.0,73.0,0
9,4.0,17.0,0
10,9.0,27.0,1
11,4.0,21.0,1
12,3.0,16.0,4
13,7.0,17.0,2
14,3.0,12.0,1
15,6.0,65.0,1
16,7.0,14.0,2
17,7.0,21.0,1
18,11.0,105.0,1
19,18.0,233.0,1
20,19.0,396.0,1
21,11.0,100.0,3
22,9.0,59.0,1
23,11.0,141.0,2
24,7.0,32.0,0
25,15.0,131.0,2
26,4.0,17.0,3
27,10.0,41.0,1
28,17.0,163.0,2
29,21.0,332.0,1
30,23.0,541.0,1
31,17.0,213.0,2
32,9.0,27.0,2
33,19.0,164.0,0
34,20.0,145.0,1
35,10.0,68.0,2
36,8.0,25.0,1
37,23.0,171.0,1
38,13.0,66.0,1
39,7.0,85.0,1
40,13.0,167.0,2
41,13.0,47.0,0
42,10.0,37.0,1
43,12.0,33.0,0
44,16.0,154.0,1
45,20.0,331.0,0
46,14.0,126.0,3
47,9.0,30.0,2
48,9.0,26.0,0
49,9.0,88.0,1
50,13.0,185.0,1
51,5.0,19.0,1
52,9.0,78.0,1
53,3.0,12.0,4
54,7.0,52.0,2
55,14.0,137.0,0
56,14.0,265.0,2
57,19.0,426.0,0
58,24.0,621.0,1
59,12.0,163.0,0
60,10.0,35.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,5.0,14.0,0
8,8.0,71.0,0
9,4.0,7.0,0
10,8.0,51.0,1
11,7.0,25.0,1
12,10.0,95.0,3
13,5.0,11.0,2
14,8.0,24.0,0
15,12.0,122.0,2
16,4.0,9.0,0
17,8.0,30.0,1
18,5.0,23.0,3
19,9.0,79.0,1
20,8.0,30.0,2
21,12.0,119.0,2
22,17.0,249.0,4
23,5.0,8.0,1
24,7.0,50.0,2
25,8.0,30.0,0
26,9.0,30.0,2
27,11.0,46.0,0
28,6.0,24.0,3
29,11.0,94.0,1
30,4.0,11.0,3
31,7.0,26.0,3
32,6.0,11.0,1
33,7.0,29.0,2
34,12.0,122.0,2
35,20.0,272.0,2
36,21.0,457.0,0
37,7.0,35.0,3
38,8.0,48.0,1
39,9.0,40.0,2
40,14.0,157.0,0
41,6.0,16.0,0
42,9.0,36.0,2
43,18.0,182.0,2
44,24.0,379.0,2
45,26.0,610.0,1
46,17.0,300.0,0
47,10.0,59.0,1
48,8.0,31.0,1
49,13.0,44.0,1
50,14.0,112.0,1
51,15.0,244.0,3
52,19.0,414.0,1
53,25.0,615.0,0
54,14.0,197.0,2
55,8.0,58.0,1
56,15.0,150.0,1
57,15.0,275.0,2
58,8.0,38.0,3
59,9.0,26.0,2
60,10.0,30.0,3
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,5.0,39.0,0
7,12.0,113.0,0
8,3.0,9.0,0
9,6.0,43.0,0
10,10.0,29.0,0
11,9.0,34.0,2
12,7.0,35.0,1
13,7.0,25.0,2
14,11.0,97.0,3
15,12.0,206.0,2
16,16.0,342.0,3
17,22.0,516.0,1
18,14.0,131.0,2
19,7.0,64.0,0
20,11.0,35.0,0
21,14.0,61.0,0
22,13.0,131.0,1
23,11.0,36.0,2
24,9.0,30.0,1
25,10.0,33.0,1
26,10.0,29.0,3
